,行业,代码
0,贵金属,002716
1,贵金属,600489
2,贵金属,000506
3,贵金属,002237
4,贵金属,300139
5,贵金属,000975
6,贵金属,001337
7,贵金属,601069
8,贵金属,600547
9,贵金属,600988
10,贵金属,002155
11,能源金属,002192
12,能源金属,300390
13,能源金属,002667
14,能源金属,002466
15,能源金属,002460
16,能源金属,002240
17,能源金属,002738
18,能源金属,600711
19,能源金属,000762
20,能源金属,300618
21,能源金属,603799
22,能源金属,002340
23,能源金属,301219
24,电机,603350
25,电机,002196
26,电机,600580
27,电机,003021
28,电机,300660
29,电机,688395
30,电机,873593
31,电机,603728
32,电机,002176
33,电机,002801
34,电机,002823
35,电机,002576
36,电机,603819
37,电机,603320
38,电机,301502
39,电机,002249
40,电机,002892
41,电机,603489
42,电机,300626
43,电机,300907
44,电机,000922
45,电机,603344
46,电机,603988
47,电机,301226
48,电机,301023
49,电机,600416
50,塑料制品,688585
51,塑料制品,601208
52,塑料制品,688716
53,塑料制品,300922
54,塑料制品,301196
55,塑料制品,832469
56,塑料制品,300920
57,塑料制品,300539
58,塑料制品,301193
59,塑料制品,603266
60,塑料制品,300610
61,塑料制品,301000
62,塑料制品,002395
63,塑料制品,301161
64,塑料制品,300995
65,塑料制品,301003
66,塑料制品,688026
67,塑料制品,300644
68,塑料制品,603722
69,塑料制品,301131
70,塑料制品,301019
71,塑料制品,603991
72,塑料制品,605488
73,塑料制品,002838
74,塑料制品,300806
75,塑料制品,837174
76,塑料制品,300538
77,塑料制品,002886
78,塑料制品,688669
79,塑料制品,002361
80,塑料制品,688386
81,塑料制品,688219
82,塑料制品,003011
83,塑料制品,300717
84,塑料制品,002768
85,塑料制品,300980
86,塑料制品,301198
87,塑料制品,300243
88,塑料制品,300218
89,塑料制品,600143
90,塑料制品,300586
91,塑料制品,603181
92,塑料制品,001378
93,塑料制品,003018
94,塑料制品,832089
95,塑料制品,001356
96,塑料制品,300905
97,塑料制品,301591
98,塑料制品,300221
99,塑料制品,001368
100,塑料制品,300784
101,塑料制品,603580
102,塑料制品,301237
103,塑料制品,300305
104,塑料制品,300487
105,塑料制品,600135
106,塑料制品,002585
107,塑料制品,301538
108,塑料制品,002324
109,塑料制品,831834
110,塑料制品,920066
111,塑料制品,002632
112,塑料制品,300230
113,塑料制品,002522
114,塑料制品,000973
115,塑料制品,836871
116,塑料制品,920118
117,塑料制品,301356
118,塑料制品,300214
119,塑料制品,300180
120,塑料制品,603615
121,塑料制品,000859
122,塑料制品,300596
123,塑料制品,688087
124,塑料制品,603150
125,塑料制品,002108
126,塑料制品,603051
127,塑料制品,002825
128,塑料制品,603928
129,塑料制品,300478
130,塑料制品,301565
131,塑料制品,603879
132,塑料制品,688323
133,塑料制品,870204
134,塑料制品,002263
135,塑料制品,301323
136,塑料制品,603221
137,塑料制品,605008
138,电力行业,000600
139,电力行业,001896
140,电力行业,600149
141,电力行业,600396
142,电力行业,000767
143,电力行业,600744
144,电力行业,300040
145,电力行业,600726
146,电力行业,000899
147,电力行业,600969
148,电力行业,600505
149,电力行业,600982
150,电力行业,600021
151,电力行业,001258
152,电力行业,600578
153,电力行业,002616
154,电力行业,000037
155,电力行业,000531
156,电力行业,600719
157,电力行业,601991
158,电力行业,900937
159,电力行业,000862
