,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),29日平均涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,互联网服务,600845,宝信软件,684.03827512,506.12325158,38.46,6.64,1.41,-2.77,-0.08,-9.43,-17.24
1,交运设备,913,钱江摩托,85.9955763,74.67996,24.8,1.84,1.01,9.48,0.29,1.05,-7.27
2,光伏设备,605117,德业股份,492.82633398,492.82633398,17.46,5.7,2.18,-2.27,-0.09,-7.19,-7.19
3,化学制品,600352,浙江龙盛,341.5998453,341.5998453,21.57,1.01,1.43,5.33,0.23,8.81,2.04
4,化学制药,600079,人福医药,349.7860243,330.70321041,16.18,1.93,2.95,-5.45,-0.13,2.54,-8.34
5,化学制药,600196,复星医药,684.96512186,543.39238361,22.39,1.43,1.15,1.31,0.04,6.88,3.22
6,化学制药,2019,亿帆医药,176.49820133,122.09788901,28.81,2.06,2.01,5.43,0.28,31.91,36.63
7,化学制药,688799,华纳药厂,70.282464,70.282464,42.63,3.91,1.37,4.24,0.96,104.67,81.49
8,化学原料,600989,宝丰能源,1160.137552,1160.137552,11.9,2.73,4.63,-3.17,-0.08,7.77,-3.71
9,医疗服务,600327,大东方,44.94679951,44.94679951,28.14,1.33,1.42,5.77,0.29,3.25,-4.15
10,半导体,688008,澜起科技,948.80134946,948.80134946,45.15,8.23,6.65,2.86,0.31,12.62,22.77
11,塑料制品,301196,唯科科技,86.21404689,85.74653632,27.85,2.69,1.03,9.56,0.51,48.82,109.4
12,家电行业,2705,新宝股份,121.53780427,120.98176203,12.31,1.51,1.43,7.29,0.26,17.97,2.89
13,小金属,657,中钨高新,284.41350662,155.6641803,32.18,3.09,2.16,8.63,0.39,36.54,37.9
14,工程建设,601868,中国能建,971.40411272,755.58935392,15.07,0.89,2.4,3.6,0.11,3.1,2.19
15,房地产开发,1979,招商蛇口,820.91175764,766.27853223,46.07,0.84,3.66,6.75,0.2,-5.72,-11.52
16,文化传媒,300413,芒果超媒,403.88862396,220.58502093,26.65,1.8,1.41,-1.75,-0.06,-24.22,-19.71
17,有色金属,601600,中国铝业,1242.06776245,953.19106314,8.78,1.72,5.95,8.83,0.37,12.25,-1.5
18,水泥建材,600585,海螺水泥,1226.25861678,925.53117678,16.93,0.65,1.77,2.4,0.02,-6.2,0.3
19,汽车整车,600066,宇通客车,578.94510681,578.94510681,19.17,4.84,2.91,3.66,0.16,2.75,3.03
20,汽车零部件,603040,新坐标,55.22259812,54.64665002,20.66,4.1,1.06,-2.3,0.02,65.96,82.09
21,汽车零部件,605133,嵘泰股份,84.0783998,71.46915731,43.59,2.38,1.38,4.46,0.19,22.6,65.35
22,消费电子,300679,电连技术,181.21033772,152.89494751,36.75,3.74,1.55,-4.28,-0.05,-16.71,-27.81
23,消费电子,2600,领益智造,622.32656036,612.69230364,27.53,3.08,4.33,9.91,0.35,23.5,11.28
24,煤炭行业,601918,新集能源,172.01197552,172.01197552,8.09,1.07,1.19,-0.45,-0.02,-4.18,-7.52
25,煤炭行业,2128,电投能源,432.8478415,432.8478415,6.94,1.25,3.38,4.96,0.09,11.94,2.82
