,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,煤炭行业,601918,新集能源,169.0,169.0,7.95,1.05,6.53,1.5,-2.2,-6.31,-9.05
1,铁路公路,000900,现代投资,67.0,67.0,9.52,0.61,4.42,1.2,6.8,18.18,3.76
2,家电行业,002705,新宝股份,121.0,121.0,12.29,1.51,14.95,1.4,7.6,21.64,2.75
3,消费电子,002947,恒铭达,88.0,66.0,20.35,2.82,34.37,1.2,3.8,22.75,4.98
4,通用设备,603109,神驰机电,59.0,59.0,21.07,3.04,28.07,2.1,-0.6,54.66,60.86
5,汽车零部件,603040,新坐标,59.0,58.0,22.12,4.38,43.31,1.8,5.1,80.46,94.91
6,钢铁行业,002756,永兴材料,181.0,130.0,23.61,1.47,33.54,1.4,7.9,13.39,-9.91
7,交运设备,000913,钱江摩托,88.0,76.0,25.3,1.88,16.66,1.1,3.8,6.05,-5.39
8,电源设备,301590,优优绿能,64.0,13.0,26.22,3.42,153.25,1.7,1.4,71.04,71.04
9,医疗服务,600327,大东方,44.0,44.0,27.81,1.32,5.02,1.2,3.7,2.66,-5.28
10,医疗器械,688050,爱博医疗,131.0,129.0,35.41,4.92,67.79,1.2,-5.5,-33.38,-25.53
11,消费电子,300679,电连技术,180.0,152.0,36.54,3.72,42.52,2.1,-5.6,-15.8,-28.21
12,装修建材,002372,伟星新材,169.0,156.0,37.07,3.81,10.59,1.1,-5.4,-7.91,-12.77
13,化学制药,688799,华纳药厂,70.0,70.0,42.7,3.92,53.6,1.5,9.4,103.34,81.76
14,生物制品,000403,派林生物,167.0,166.0,46.94,2.16,17.6,1.1,3.0,0.51,10.14
