,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),29日平均涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,能源金属,002738,中矿资源,241.6997788,238.26138871,44.83,2.02,-0.25,12.57,0.45,16.48,-4.29
1,能源金属,600711,ST盛屯,228.39619362,228.39619362,19.61,1.47,-0.45,32.29,1.03,33.15,53.32
2,能源金属,301219,腾远钴业,153.78342557,89.71272231,31.14,1.75,-0.82,18.89,0.69,13.98,16.71
3,能源金属,002340,格林美,329.49242937,326.92599967,16.11,1.65,-2.73,7.14,0.26,7.35,-0.46
4,能源金属,603799,华友钴业,646.41812433,640.64616687,12.91,1.79,-3.46,15.5,0.53,24.43,32.05
5,电机,002801,微光股份,78.0978432,39.38449827,22.46,4.7,0.7,9.76,0.37,11.8,41.06
6,电机,603320,迪贝电气,28.0693154,28.0693154,32.39,2.5,0.07,6.49,0.48,18.74,34.62
7,电机,603344,星德胜,49.66375919,13.79410919,29.89,2.48,-0.52,-0.12,0.02,13.22,5.85
8,电机,603350,安乃达,45.145737,17.0632,35.84,3.52,-0.55,0.22,0.01,21.04,9.09
9,电机,000922,佳电股份,78.21187358,66.07335971,35.49,1.77,-0.57,3.44,0.1,10.29,0.63
10,电机,002823,凯中精密,47.44931313,31.60178832,24.18,2.45,-0.88,7.44,0.24,14.77,3.07
11,电机,002576,通达动力,27.75331,27.21585581,36.53,2.2,-1.07,2.43,0.04,25.54,-1.47
12,电机,300907,康平科技,25.6608,25.6608,33.91,3.32,-1.09,4.71,0.29,16.07,27.04
13,电机,002249,大洋电机,166.00553298,124.4626918,14.59,1.79,-2.73,4.53,0.17,10.75,18.47
14,电机,600580,卧龙电驱,323.67074828,323.67074828,30.18,3.19,-9.74,4.08,0.15,6.91,45.81
15,贵金属,000975,山金国际,529.24326371,481.72862325,19.07,4.18,0.47,-7.9,-0.15,-8.93,26.98
16,贵金属,600489,中金黄金,722.73430329,722.73430329,17.4,2.72,-1.48,0.14,0.09,5.15,28.09
17,贵金属,002237,恒邦股份,138.11413612,109.5291238,22.08,1.47,-2.33,6.4,0.36,9.56,20.78
18,贵金属,001337,四川黄金,101.262,69.5467416,26.41,6.97,-2.87,-0.74,0.13,-5.6,16.87
19,贵金属,600547,山东黄金,1397.94672656,1129.51354594,34.06,5.48,-3.99,1.83,0.15,1.56,38.09
20,贵金属,600988,赤峰黄金,462.56008073,404.99602941,23.92,4.35,-7.33,-10.96,-0.23,-11.65,57.54
21,贵金属,002155,湖南黄金,281.90229741,281.87696762,21.21,4.09,-9.23,4.89,0.28,-7.2,51.34
22,电力行业,600795,国电电力,847.1919064,847.1919064,11.7,1.51,1.86,6.05,0.21,6.03,6.26
23,电力行业,600674,川投能源,793.5859916,793.5859916,13.42,1.91,1.64,-3.12,-0.15,-2.34,-5.62
24,电力行业,600863,内蒙华电,280.65617587,280.65617587,9.43,1.63,1.47,5.67,0.21,6.97,-0.69
25,电力行业,600726,华电能源,219.82394664,76.37618639,11.52,5.2,1.14,13.08,0.45,24.66,21.4
26,电力行业,600905,三峡能源,1246.42154619,1246.42154619,12.73,1.4,1.02,1.41,0.03,1.87,-0.23
27,电力行业,600578,京能电力,313.3082635,313.3082635,7.37,1.44,0.88,9.69,0.33,37.24,37.65
28,电力行业,000543,皖能电力,169.78806349,169.78806349,9.57,1.1,0.8,5.71,0.17,5.05,-1.32
29,电力行业,600642,申能股份,417.46627586,416.18215516,10.33,1.21,0.71,0.95,-0.02,-0.81,-5.64
30,电力行业,605580,恒盛能源,40.544,40.544,22.88,4.43,0.37,33.27,1.04,43.08,33.7
31,电力行业,600236,桂冠电力,530.48402607,530.48402607,24.41,3.32,0.27,5.12,0.25,5.16,0.75
32,电力行业,600575,淮河能源,142.23715498,142.23715498,13.36,1.21,0.22,0.83,0.05,7.33,-7.81
33,电力行业,600163,中闽能源,102.38119249,102.38119249,10.19,1.49,0.12,3.65,0.1,2.87,-10.48
34,电力行业,600821,金开新能,114.04374317,114.04374317,23.69,1.24,0.07,6.53,0.23,2.7,7.74
35,电力行业,605028,世茂能源,31.904,31.904,23.86,2.49,-0.36,15.48,0.53,25.49,23.62
36,电力行业,000690,宝新能源,107.92403796,107.8537802,9.01,0.89,-0.4,13.99,0.45,29.5,14.55
37,电力行业,601016,节能风电,198.08573553,182.58541817,12.64,1.15,-0.42,7.02,0.22,8.51,-1.29
38,电力行业,000767,晋控电力,106.15450656,100.47250204,43.7,1.77,-0.5,6.8,0.29,29.7,36.36
39,电力行业,600719,大连热电,28.03875228,28.03875228,11.73,6.04,-0.52,1.96,0.06,9.31,-2.81
40,电力行业,000591,太阳能,179.47042416,165.06270261,15.53,0.76,-0.7,6.29,0.22,6.76,-1.51
41,电力行业,600396,华电辽能,58.761002,58.761002,10.09,3.96,-0.72,16.72,0.62,54.05,44.57
42,电力行业,000883,湖北能源,302.2371407,301.30867511,21.21,0.91,-0.81,1.76,0.05,0.65,-4.71
43,电力行业,600098,广州发展,235.27319084,234.76612258,13.0,0.91,-0.87,4.78,0.14,12.02,9.11
44,电力行业,001289,龙源电力,1394.41733616,840.99461856,18.33,1.85,-0.9,1.09,0.05,-1.59,6.17
45,电力行业,600982,宁波能源,54.31669577,54.31669577,32.13,1.29,-0.9,3.07,0.11,9.46,22.42
46,电力行业,600995,南网储能,321.51818398,111.57562529,21.49,1.49,-0.98,1.1,-0.01,6.34,0.1
47,电力行业,001286,陕西能源,335.25,93.87,11.92,1.38,-0.98,2.78,0.1,2.64,0.79
48,电力行业,000027,深圳能源,321.59955832,321.59955832,5.95,1.01,-0.99,6.74,0.16,12.11,6.79
49,电力行业,600780,通宝能源,72.80291021,72.80291021,10.81,0.92,-1.01,5.05,0.19,12.59,12.79
