,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,贵金属,002237,恒邦股份,139.14740896,110.34854368,22.25,1.48,-2.29,8.03,10.38,21.69
1,贵金属,001337,四川黄金,101.724,69.8640432,26.53,7.0,-2.95,0.54,-5.17,17.4
2,能源金属,301219,腾远钴业,153.1939912,89.36886365,31.02,1.74,-0.84,16.04,13.54,16.26
3,电机,002801,微光股份,78.0519168,39.36133773,22.44,4.7,0.85,8.96,11.74,40.98
4,电机,603350,安乃达,46.1818305,17.4548,36.67,3.6,0.2,8.89,23.81,11.59
5,电机,603320,迪贝电气,28.02457154,28.02457154,32.34,2.5,-0.15,4.79,18.55,34.41
6,电机,603344,星德胜,49.39141582,13.71846582,29.73,2.46,-0.43,0.32,12.59,5.27
7,电机,000922,佳电股份,78.21187358,66.07335971,35.49,1.77,-0.54,4.27,10.29,0.63
8,电机,002823,凯中精密,47.41647624,31.57991857,24.17,2.45,-0.73,7.92,14.69,3.0
9,电机,002576,通达动力,27.68727,27.1510947,36.44,2.19,-0.87,4.93,25.24,-1.7
10,电机,300907,康平科技,25.6704,25.6704,33.92,3.33,-1.1,6.01,16.11,27.09
11,电机,002249,大洋电机,165.51728142,124.09662506,14.55,1.78,-2.52,4.79,10.42,18.12
12,塑料制品,601208,东材科技,113.08454096,113.08454096,30.77,2.62,3.83,38.27,48.0,69.49
13,塑料制品,301196,唯科科技,87.854907,87.37849858,28.38,2.74,0.85,13.83,51.65,113.39
14,塑料制品,688386,泛亚微透,47.0925,47.0925,48.89,6.34,0.56,23.0,32.45,123.35
15,塑料制品,831834,三维股份,14.94000062,7.81815666,49.41,5.44,0.11,3.4,13.08,74.86
16,塑料制品,300644,南京聚隆,30.05465369,24.02465268,24.61,3.33,0.09,5.28,30.14,25.02
17,塑料制品,603221,爱丽家居,26.830426,26.577019,30.25,1.71,-0.03,-10.87,2.91,22.57
18,塑料制品,003018,金富科技,32.188,16.43448405,31.51,2.11,-0.07,10.12,30.18,38.17
19,塑料制品,001378,德冠新材,30.48006096,15.51895654,34.46,1.64,-0.1,6.18,12.94,1.74
20,塑料制品,301356,天振股份,38.34,9.728775,34.89,1.29,-0.11,1.6,22.41,12.63
21,塑料制品,002632,道明光学,57.15081674,53.14320101,27.77,2.73,-0.23,10.63,14.66,4.33
22,塑料制品,003011,海象新材,19.8883412,15.12579397,20.15,1.42,-0.25,8.11,38.46,30.0
23,塑料制品,301161,唯万密封,28.452,12.6440688,28.71,2.92,-0.3,12.12,19.33,11.37
24,塑料制品,688026,洁特生物,24.18458281,24.17685998,36.73,2.27,-0.33,6.75,24.31,35.03
25,塑料制品,301131,聚赛龙,22.30941296,14.37714732,35.29,2.68,-0.35,2.3,33.33,36.93
26,塑料制品,002324,普利特,130.03210739,90.74665996,29.82,2.97,-0.35,17.51,28.32,23.31
27,塑料制品,002825,纳尔股份,36.51010508,27.42455446,13.27,2.36,-0.38,5.73,19.31,38.83
28,塑料制品,300596,利安隆,66.19935,64.77769743,15.34,1.48,-0.42,3.37,5.72,-4.31
29,塑料制品,603266,天龙股份,37.88792588,37.88792588,37.03,2.51,-0.42,4.09,1.06,18.32
30,塑料制品,300230,永利股份,40.82331474,31.61708945,30.35,1.31,-0.44,10.07,17.56,14.35
31,塑料制品,300717,华信新材,18.9619875,18.7919523,29.83,2.71,-0.45,8.6,30.11,34.38
32,塑料制品,300610,晨化股份,27.60702463,20.70290424,25.54,2.42,-0.5,19.16,36.02,31.02
33,塑料制品,001368,通达创智,26.94520464,7.59477963,23.93,1.96,-0.58,3.68,13.91,26.51
34,塑料制品,301003,江苏博云,30.02391014,23.06198284,23.33,2.75,-0.58,4.5,27.36,51.82
35,塑料制品,603181,皇马科技,76.531,76.531,18.8,2.47,-0.58,2.45,12.07,14.84
36,塑料制品,688087,英科再生,49.18443045,48.92669022,17.0,1.89,-0.65,8.82,13.43,-13.16
37,塑料制品,301019,宁波色母,29.39999913,19.50652568,29.25,2.87,-0.65,7.37,21.44,5.74
38,塑料制品,301591,肯特股份,34.135896,13.77639261,39.51,3.93,-0.65,1.5,23.27,6.87
39,塑料制品,300218,安利股份,32.9169279,32.80912897,17.73,2.32,-0.66,3.68,15.19,0.13
40,塑料制品,301538,骏鼎达,40.38384,16.08125253,21.45,3.15,-0.7,-4.97,16.41,-5.69
41,塑料制品,832089,禾昌聚合,25.0259548,15.53048604,18.49,2.2,-0.8,-1.83,10.88,48.7
42,塑料制品,002768,国恩股份,85.253875,55.55193569,19.19,1.72,-0.94,20.52,24.92,37.85
43,塑料制品,301323,新莱福,46.13459473,29.46304957,37.86,2.22,-0.98,9.58,25.59,11.66
44,塑料制品,002395,双象股份,54.7682778,54.7682778,20.11,3.95,-1.44,12.52,27.23,24.82
45,塑料制品,688219,会通股份,57.43128054,57.43128054,28.96,2.31,-1.59,-2.25,4.04,12.07
46,塑料制品,603150,万朗磁塑,28.3718077,17.76208652,18.87,1.76,-1.59,-4.57,12.78,26.01
47,塑料制品,002108,沧州明珠,61.78614144,61.15429349,31.98,1.24,-3.53,8.8,18.15,6.3
48,电力行业,000767,晋控电力,106.15450656,100.47250204,43.7,1.77,1.18,17.75,29.7,36.36
49,电力行业,000543,皖能电力,169.33469083,169.33469083,9.54,1.1,0.71,6.26,4.77,-1.58
50,电力行业,600396,华电辽能,58.761002,58.761002,10.09,3.96,0.55,27.88,54.05,44.57
51,电力行业,605580,恒盛能源,40.796,40.796,23.02,4.46,0.27,31.95,43.97,34.53
52,电力行业,600163,中闽能源,102.57149211,102.57149211,10.21,1.49,0.19,3.27,3.06,-10.32
53,电力行业,000690,宝新能源,107.92403796,107.8537802,9.01,0.89,0.06,15.58,29.5,14.55
54,电力行业,600575,淮河能源,142.23715498,142.23715498,13.36,1.21,-0.01,0.27,7.33,-7.81
55,电力行业,600821,金开新能,114.04374317,114.04374317,23.69,1.24,-0.19,5.19,2.7,7.74
56,电力行业,605028,世茂能源,31.856,31.856,23.83,2.49,-0.38,12.8,25.3,23.43
57,电力行业,600719,大连热电,28.03875228,28.03875228,11.73,6.04,-0.43,2.22,9.31,-2.81
58,电力行业,601016,节能风电,198.08573553,182.58541817,12.64,1.15,-0.43,6.62,8.51,-1.29
59,电力行业,000591,太阳能,180.2541378,165.78350044,15.6,0.77,-0.69,6.25,7.23,-1.08
60,电力行业,000600,建投能源,151.61928771,91.34626341,8.54,1.42,-0.96,19.37,30.33,51.54
61,电力行业,000875,吉电股份,194.42170555,179.15265967,7.8,1.12,-1.05,3.88,1.32,2.29
62,电力行业,002616,长青集团,47.78635275,30.28654791,14.74,1.72,-1.08,4.38,16.46,34.73
63,电力行业,600982,宁波能源,54.31669577,54.31669577,32.13,1.29,-1.11,5.65,9.46,22.42
64,电力行业,600780,通宝能源,72.57360971,72.57360971,10.77,0.92,-1.2,5.5,12.23,12.43
65,电力行业,000899,赣能股份,96.88480157,96.88480157,12.55,1.72,-1.31,12.71,-3.5,18.5
66,电力行业,000862,银星能源,54.61830441,37.36404174,18.82,1.26,-1.33,8.59,1.02,20.45
67,电力行业,002039,黔源电力,69.52095129,69.52095129,33.52,1.76,-1.34,2.2,3.37,6.97
68,电力行业,600509,天富能源,91.25998782,91.25998782,12.64,1.21,-1.49,5.9,5.23,3.43
69,电力行业,000531,穗恒运Ａ,72.06497217,62.95438777,18.49,1.09,-1.51,13.3,14.57,21.83
70,电力行业,000537,中绿电,178.96776368,178.96776368,17.6,0.92,-1.84,3.58,6.52,-2.91
71,电力行业,600452,涪陵电力,143.51299048,143.51299048,39.93,2.7,-1.84,-3.11,-1.58,-11.39
72,电力行业,601619,嘉泽新能,92.50579168,92.50579168,9.65,1.39,-1.89,8.29,6.15,18.01
73,电力行业,000155,川能动力,187.57070355,187.57070355,19.8,1.78,-2.36,1.4,-1.84,-4.87
74,电力行业,600101,明星电力,60.26487181,60.26487181,20.7,2.01,-3.17,5.87,-11.79,26.73
75,电力行业,603693,江苏新能,128.46167431,128.46167431,19.62,1.91,-3.3,-0.35,-1.5,48.56
76,造纸印刷,002511,中顺洁柔,100.43160221,98.31699003,37.61,1.83,0.72,6.0,17.91,14.1
77,造纸印刷,603733,仙鹤股份,142.96016309,142.96016309,15.13,1.86,0.15,1.86,-2.08,0.6
78,造纸印刷,603058,永吉股份,37.24461217,37.1514204,24.88,3.18,0.1,8.7,17.64,1.84
79,造纸印刷,301469,恒达新材,26.002888,13.38465386,49.13,1.94,-0.13,13.14,28.3,25.53
80,造纸印刷,002836,新宏泽,22.55616,22.55616,35.23,6.79,-0.16,5.5,24.71,37.5
81,造纸印刷,600966,博汇纸业,61.89589053,61.89589053,28.99,0.91,-0.17,3.59,7.67,-9.75
82,造纸印刷,600356,恒丰纸业,24.7349581,24.7349581,22.06,0.96,-0.23,3.88,13.11,10.25
83,造纸印刷,605377,华旺科技,50.82399547,50.82399547,15.75,1.32,-0.28,3.98,-3.49,-15.07
84,造纸印刷,603165,荣晟环保,32.11496914,32.11496914,11.37,1.48,-0.3,6.23,4.34,0.17
85,造纸印刷,605007,五洲特纸,56.5127307,47.58365462,21.84,1.7,-0.31,4.5,4.13,-5.5
86,造纸印刷,600308,华泰股份,53.69720423,53.69720423,22.44,0.59,-0.38,-0.28,10.28,-2.48
