,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,化学制药,002393,力生制药,62.0,60.0,27.83,1.31,23.88,0.1,22.9,50.47,38.11
1,化学制药,002550,千红制药,137.0,102.0,21.25,5.41,10.69,-0.4,25.9,88.54,75.82
2,化学制药,000756,新华制药,121.0,86.0,26.92,2.4,17.5,0.0,15.7,25.36,11.39
3,化学制药,603811,诚意药业,42.0,42.0,22.68,3.41,12.69,0.0,40.1,56.86,69.65
4,化学制药,002102,能特科技,108.0,95.0,12.47,3.18,4.09,0.7,24.7,51.48,56.11
5,化学制药,001367,海森药业,36.0,9.0,29.17,2.67,23.97,-0.5,6.1,31.13,31.06
6,化学制药,300233,金城医药,66.0,64.0,47.39,1.8,17.31,-2.6,4.0,8.05,47.95
7,化学制药,300434,金石亚药,42.0,36.0,16.79,1.7,10.51,-1.9,6.8,40.13,28.48
8,化学制药,300401,花园生物,86.0,85.0,22.37,2.8,15.89,-1.0,8.1,15.9,9.21
9,化学制药,600789,鲁抗医药,93.0,93.0,29.7,2.4,10.39,-5.4,-3.7,7.89,10.06
10,化学制药,688566,吉贝尔,61.0,61.0,30.83,2.72,30.63,-0.0,14.2,39.1,38.35
11,化学制药,605116,奥锐特,91.0,89.0,19.13,3.97,22.5,-0.1,8.3,9.92,8.02
12,化学制药,300194,福安药业,54.0,44.0,19.51,1.23,4.53,-0.7,7.6,9.69,2.72
13,化学制药,300705,九典制药,83.0,61.0,16.44,3.35,16.54,-2.5,3.2,1.66,-6.24
14,化学制药,003020,立方制药,46.0,33.0,29.93,2.66,23.94,-0.9,2.4,-4.28,36.49
15,化学制药,688117,圣诺生物,62.0,62.0,32.94,6.53,39.45,-2.6,34.2,110.51,116.28
16,化学制药,600267,海正药业,150.0,150.0,19.27,1.81,12.49,2.1,36.5,41.93,54.2
17,化学制药,301277,新天地,58.0,15.0,25.7,3.91,14.83,-3.1,-12.9,21.76,54.64
18,化学制药,300452,山河药辅,32.0,26.0,17.21,3.83,13.85,-1.1,11.2,13.71,17.27
19,化学制药,300573,兴齐眼药,136.0,104.0,23.26,8.66,55.33,-2.0,2.0,8.21,12.62
20,化学制药,002020,京新药业,134.0,112.0,20.46,2.47,15.52,-0.8,16.5,14.37,24.46
21,化学制药,688513,苑东生物,76.0,76.0,31.29,2.82,42.96,-1.3,6.8,21.01,44.6
22,化学制药,600216,浙江医药,148.0,148.0,9.02,1.38,15.35,-5.4,3.5,19.46,-3.22
23,化学制药,002399,海普瑞,181.0,154.0,28.93,1.51,12.35,-0.3,4.0,18.86,18.3
24,化学制药,000788,北大医药,39.0,39.0,21.32,2.52,6.53,-2.7,9.9,18.94,9.38
25,化学制药,300636,同和药业,34.0,30.0,41.17,1.48,8.15,-0.4,1.9,15.44,2.77
26,化学制药,002437,誉衡药业,71.0,67.0,29.54,3.68,3.17,0.3,14.9,33.19,27.31
