,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,41.9,-2.22,6.03,1.46
1,能源金属,-1.1,13.09,16.98,15.4
2,玻璃玻纤,-3.7,15.8,23.14,26.34
3,铁路公路,-3.9,2.17,8.5,8.13
4,水泥建材,-6.0,16.22,22.57,27.34
5,教育,-6.2,5.11,10.34,8.82
6,汽车服务,-6.6,8.6,11.62,21.29
7,综合行业,-7.4,10.85,21.11,21.79
8,航空机场,-7.5,0.54,5.77,-0.49
9,公用事业,-9.9,5.22,7.9,10.07
10,钢铁行业,-10.9,13.16,18.45,21.81
11,证券,-11.7,9.7,14.95,9.83
12,工程咨询服务,-13.4,12.49,24.19,27.23
13,工程机械,-14.6,12.79,16.97,33.58
14,房地产服务,-14.9,3.8,10.33,11.35
15,非金属材料,-15.0,13.72,20.6,28.83
16,煤炭行业,-15.1,5.45,9.86,3.53
17,专业服务,-15.4,11.87,14.81,32.45
18,燃气,-17.3,4.6,12.34,8.78
19,电机,-17.3,9.45,14.13,33.21
20,石油行业,-17.8,9.42,16.12,15.1
21,装修装饰,-18.4,3.82,15.92,24.26
22,银行,-18.6,5.29,16.4,20.81
23,医药商业,-19.8,6.61,18.2,18.31
24,包装材料,-20.5,7.92,20.8,29.41
25,装修建材,-21.6,5.75,16.59,19.06
26,橡胶制品,-23.5,5.46,13.77,22.67
27,多元金融,-24.6,14.46,27.18,26.4
28,美容护理,-30.2,-7.58,11.27,23.3
29,化纤行业,-31.3,3.34,13.26,24.41
30,工程建设,-31.9,8.04,15.48,19.81
31,旅游酒店,-34.0,-0.37,2.25,4.68
32,化肥行业,-37.0,6.92,13.95,18.13
33,珠宝首饰,-37.2,-1.1,24.33,31.83
34,风电设备,-38.7,9.31,15.97,26.07
35,房地产开发,-40.4,5.77,9.38,5.79
36,仪器仪表,-40.7,8.81,16.49,40.05
37,消费电子,-40.8,8.91,16.31,15.99
38,光伏设备,-40.8,12.09,16.79,6.16
39,造纸印刷,-43.2,6.49,16.65,15.09
40,贸易行业,-44.3,6.53,13.51,18.71
41,家电行业,-47.6,4.45,13.99,21.88
42,医疗器械,-49.6,7.92,17.74,24.9
43,航运港口,-49.7,4.79,14.03,15.05
44,贵金属,-50.0,5.3,7.82,47.72
45,电子化学品,-50.0,6.68,9.09,18.49
46,家用轻工,-52.2,-1.47,21.32,28.96
47,电源设备,-52.7,12.48,20.82,32.81
48,交运设备,-55.5,5.49,15.75,23.82
49,船舶制造,-56.2,18.68,26.27,39.6
50,采掘行业,-57.2,13.06,24.4,32.57
51,物流行业,-57.3,4.5,10.21,20.98
52,农牧饲渔,-59.4,1.82,9.83,19.8
53,生物制品,-63.1,9.88,29.58,43.52
54,中药,-64.6,2.75,13.46,10.23
55,医疗服务,-65.8,10.77,26.3,30.64
56,纺织服装,-69.3,3.25,19.25,21.72
57,通信服务,-81.8,1.5,8.21,10.78
58,商业百货,-82.3,0.68,-0.07,-2.9
59,食品饮料,-83.2,-1.94,4.63,12.93
60,塑料制品,-84.7,13.12,23.89,47.31
61,电力行业,-86.6,6.14,9.65,14.98
62,酿酒行业,-87.0,0.72,4.19,-0.92
63,农药兽药,-93.8,1.57,21.79,38.22
64,化学原料,-100.0,6.09,15.38,28.51
65,环保行业,-101.2,6.71,19.12,26.94
66,有色金属,-101.2,9.36,19.43,29.82
67,航天航空,-106.1,14.58,23.67,29.86
68,游戏,-121.4,4.11,28.2,34.84
69,汽车整车,-122.0,4.35,6.1,9.56
70,小金属,-122.8,9.91,29.8,46.38
71,计算机设备,-126.5,6.06,19.07,27.96
72,电池,-127.1,11.33,22.57,29.46
73,文化传媒,-146.1,0.97,9.84,9.38
74,光学光电子,-146.5,9.23,17.16,17.58
75,电网设备,-150.8,9.4,18.5,26.44
76,化学制品,-159.3,7.48,16.79,30.79
77,化学制药,-189.1,12.08,31.6,42.31
78,电子元件,-198.8,15.57,26.52,36.96
79,通用设备,-207.2,8.7,18.47,42.14
80,汽车零部件,-216.3,6.24,17.59,39.18
81,专用设备,-236.6,9.67,20.38,34.6
82,通信设备,-238.1,11.02,23.74,27.85
83,半导体,-261.5,6.43,4.06,14.67
84,互联网服务,-316.8,8.29,16.35,31.57
85,软件开发,-370.8,11.46,16.3,29.35
