,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,煤炭行业,601918,新集能源,180.0,180.0,8.45,1.11,6.99,2.5,5.7,-1.56,-3.34
1,食品饮料,600073,光明肉业,72.0,72.0,10.8,1.43,7.62,1.5,-8.2,-6.03,11.06
2,家电行业,002705,新宝股份,121.0,120.0,12.24,1.51,14.92,1.4,6.6,16.33,2.34
3,通用设备,603279,景津装备,99.0,99.0,14.78,2.24,15.98,1.3,-0.9,3.7,-2.12
4,医疗器械,600587,新华医疗,98.0,98.0,15.26,1.27,16.28,1.6,6.7,7.46,-1.59
5,医疗服务,600327,大东方,45.0,45.0,28.03,1.33,5.05,1.4,3.9,5.64,-4.53
6,化学制药,002019,亿帆医药,174.0,120.0,28.39,2.03,14.21,1.5,-0.8,26.55,34.65
7,装修建材,002372,伟星新材,178.0,164.0,39.03,4.01,11.29,1.4,3.0,-5.59,-8.15
8,化学制药,688799,华纳药厂,76.0,76.0,45.95,4.22,58.13,1.4,8.9,68.21,95.59
9,生物制品,000403,派林生物,169.0,168.0,47.53,2.18,17.85,1.3,-4.1,5.82,11.51
