,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,26.9,-0.87,7.61,3.08
1,煤炭行业,4.7,11.79,15.22,8.74
2,能源金属,1.9,16.4,19.86,16.59
3,汽车服务,-7.9,9.53,10.52,19.29
4,铁路公路,-8.5,4.59,9.45,8.77
5,证券,-8.5,11.94,15.43,10.54
6,综合行业,-9.8,11.6,19.0,20.52
7,房地产服务,-11.9,5.8,8.06,10.71
8,公用事业,-11.9,6.55,6.13,9.51
9,玻璃玻纤,-12.0,18.47,24.14,26.2
10,教育,-12.6,5.25,10.17,6.82
11,航空机场,-13.3,3.93,6.89,0.3
12,专业服务,-14.5,12.63,16.95,32.68
13,钢铁行业,-16.3,19.24,22.51,26.35
14,燃气,-18.0,3.27,11.25,8.99
15,装修装饰,-18.3,6.18,17.78,24.81
16,医药商业,-19.0,7.02,17.47,17.13
17,橡胶制品,-22.0,7.09,14.67,23.32
18,美容护理,-22.6,-2.96,12.91,26.89
19,包装材料,-23.3,8.39,18.93,27.47
20,非金属材料,-23.7,13.99,23.77,29.38
21,石油行业,-25.5,6.48,16.55,14.94
22,工程咨询服务,-26.6,16.03,25.73,29.01
23,装修建材,-26.7,8.83,17.8,19.48
24,工程机械,-30.3,17.9,23.44,38.5
25,旅游酒店,-31.5,3.05,1.64,4.75
26,电机,-31.8,9.91,12.33,30.91
27,银行,-35.7,4.68,13.91,19.97
28,珠宝首饰,-38.8,-4.63,24.45,30.9
29,化纤行业,-38.9,4.03,13.77,23.97
30,房地产开发,-39.1,8.15,9.21,5.92
31,仪器仪表,-42.2,9.78,17.22,39.84
32,医疗器械,-44.0,10.16,19.26,25.03
33,水泥建材,-44.0,21.38,26.39,30.46
34,航运港口,-45.9,5.08,15.07,14.78
35,风电设备,-46.8,9.62,14.03,26.0
36,化肥行业,-47.1,6.09,13.69,18.67
37,光伏设备,-47.6,15.02,18.71,5.9
38,贸易行业,-49.2,8.17,13.78,17.59
39,电子化学品,-49.3,8.75,9.9,18.32
40,多元金融,-50.6,13.8,26.6,24.39
41,造纸印刷,-52.8,6.05,15.72,13.52
42,物流行业,-53.0,6.68,12.01,21.41
43,家电行业,-53.8,6.77,13.16,21.72
44,贵金属,-54.8,-1.24,13.24,50.42
45,家用轻工,-55.5,-1.11,21.03,27.75
46,酿酒行业,-55.7,5.78,4.76,0.03
47,交运设备,-59.1,7.53,15.78,23.62
48,医疗服务,-61.5,13.57,27.84,32.03
49,采掘行业,-61.8,3.31,26.8,32.06
50,中药,-63.3,4.49,13.54,9.68
51,工程建设,-64.5,11.37,17.63,21.22
52,船舶制造,-66.9,13.84,25.39,35.92
53,食品饮料,-71.2,0.77,4.94,12.68
54,纺织服装,-72.6,5.49,17.75,20.92
55,商业百货,-75.0,3.35,1.82,-2.67
56,生物制品,-76.1,11.0,29.28,42.74
57,农牧饲渔,-77.4,4.75,10.81,20.31
58,消费电子,-77.4,9.77,16.19,14.67
59,电源设备,-82.0,12.27,21.69,31.89
60,通信服务,-82.8,2.33,9.46,8.47
61,农药兽药,-91.0,2.52,21.42,37.72
62,环保行业,-102.0,8.17,19.3,26.88
63,塑料制品,-102.2,13.0,22.9,45.42
64,电力行业,-108.3,6.23,3.08,14.16
65,化学原料,-112.9,6.43,14.95,28.27
66,游戏,-126.8,5.52,27.69,33.25
67,电池,-129.1,13.43,23.6,28.95
68,航天航空,-130.9,9.28,23.6,27.18
69,有色金属,-136.3,10.31,20.13,30.14
70,计算机设备,-138.3,6.26,19.77,26.08
71,汽车整车,-138.8,5.44,6.21,9.2
72,光学光电子,-161.1,9.0,16.32,15.73
73,小金属,-167.1,10.36,32.87,47.89
74,电网设备,-174.9,10.4,17.74,24.99
75,文化传媒,-179.4,1.83,10.45,8.47
76,化学制品,-182.4,9.28,18.67,31.13
77,化学制药,-224.8,12.65,31.31,41.15
78,通用设备,-242.7,9.56,18.79,40.8
79,电子元件,-242.7,14.26,25.71,34.84
80,半导体,-248.1,8.69,6.84,15.07
81,通信设备,-271.7,10.13,23.86,26.77
82,汽车零部件,-281.7,7.12,16.94,37.52
83,专用设备,-285.1,11.03,22.33,34.55
84,互联网服务,-355.0,9.84,17.44,30.39
85,软件开发,-413.6,12.25,18.17,28.3
