,账户,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,1日主力净流入-总净额(亿),5日主力净流入-总净额(亿),29日主力净流入-总净额(亿),1日涨跌幅(%),5日涨跌幅(%),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,华泰-沈海纳,互联网服务,300059,东方财富,4175.0,3534.0,37.5,4.88,26.42,-9.58,-109.27,-121.35,-0.68,-7.91,9.26,21.58,2.56
1,华泰-沈海纳,光伏设备,300827,上能电气,180.0,137.0,44.8,7.91,35.76,-2.0,3.79,-1.05,0.85,43.73,51.08,84.81,14.1
2,中银-杨敏靖,互联网服务,300059,东方财富,4175.0,3534.0,37.5,4.88,26.42,-9.58,-109.27,-121.35,-0.68,-7.91,9.26,21.58,2.56
3,中银-杨敏靖,船舶制造,300065,海兰信,133.0,121.0,194.35,7.6,18.42,-0.52,-5.6,-23.48,0.0,-12.66,2.33,4.96,124.63
4,中银-杨敏靖,化学制药,300255,常山药业,450.0,449.0,-773.28,29.35,48.95,-0.09,0.67,-9.43,2.86,-3.74,16.52,-6.1,144.87
5,中银-杨敏靖,光伏设备,300827,上能电气,180.0,137.0,44.8,7.91,35.76,-2.0,3.79,-1.05,0.85,43.73,51.08,84.81,14.1
6,华泰-杨平旃,船舶制造,300065,海兰信,133.0,121.0,194.35,7.6,18.42,-0.52,-5.6,-23.48,0.0,-12.66,2.33,4.96,124.63
7,自选股,计算机设备,300546,雄帝科技,52.0,37.0,221.52,4.63,27.71,-0.19,-1.0,-6.91,0.51,-7.32,-8.52,-24.95,65.14
8,自选股,计算机设备,002970,锐明技术,88.0,60.0,21.67,4.73,48.85,0.15,-0.39,-0.58,1.64,-2.4,5.6,4.18,4.09
9,自选股,计算机设备,300551,古鳌科技,43.0,42.0,-18.78,8.74,12.53,0.17,0.37,-1.67,3.47,0.0,8.3,27.6,25.68
10,自选股,消费电子,872190,雷神科技,32.0,32.0,112.76,3.78,32.33,0.08,-0.0,-0.28,-0.65,0.72,2.15,-5.38,11.48
11,自选股,消费电子,300793,佳禾智能,68.0,67.0,135.95,2.29,17.95,0.09,-1.37,-6.53,0.79,-4.32,1.07,3.4,-8.37
12,自选股,软件开发,002908,德生科技,48.0,35.0,268.25,4.29,11.03,0.08,-0.65,-2.38,1.19,-3.75,-0.9,15.38,26.64
13,自选股,消费电子,832876,慧为智能,22.0,13.0,589.63,8.72,34.18,0.13,0.1,0.3,-1.81,0.56,2.52,1.12,109.56
14,自选股,计算机设备,300479,神思电子,41.0,41.0,-34.92,8.45,20.85,0.16,0.31,-1.8,1.07,-5.18,-5.14,-0.95,14.56
15,自选股,半导体,002213,大为股份,41.0,35.0,-174.11,7.38,17.14,0.11,-0.36,-4.06,0.94,-4.72,-1.27,11.59,26.49
16,自选股,光学光电子,002955,鸿合科技,69.0,57.0,77.5,2.13,29.27,0.64,0.91,0.6,-0.78,9.01,14.83,11.63,31.55
