,账户,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,1日主力净流入-总净额(亿),5日主力净流入-总净额(亿),29日主力净流入-总净额(亿),1日涨跌幅(%),5日涨跌幅(%),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,华泰-沈海纳,物流行业,002120,韵达股份,229.0,223.0,21.68,1.14,7.91,-0.2,0.4,1.9,-0.8,3.0,-0.3,15.98,8.06
1,华泰-沈海纳,互联网服务,300059,东方财富,4139.0,3503.0,37.17,4.84,26.19,-5.8,-64.9,-112.2,-0.9,-6.0,10.0,20.64,1.67
2,华泰-沈海纳,光伏设备,300827,上能电气,186.0,142.0,46.31,8.18,36.97,-0.4,2.8,-0.7,3.4,47.3,59.8,91.75,17.96
3,中银-杨敏靖,互联网服务,300059,东方财富,4139.0,3503.0,37.17,4.84,26.19,-5.8,-64.9,-112.2,-0.9,-6.0,10.0,20.64,1.67
4,中银-杨敏靖,船舶制造,300065,海兰信,137.0,125.0,200.37,7.83,18.99,0.6,-2.9,-23.4,3.1,-5.5,3.6,10.47,131.59
5,中银-杨敏靖,化学制药,300255,常山药业,434.0,433.0,-745.95,28.31,47.22,-0.4,0.9,-7.1,-3.5,-3.0,15.2,-10.55,136.22
6,华泰-杨平旃,船舶制造,300065,海兰信,137.0,125.0,200.37,7.83,18.99,0.6,-2.9,-23.4,3.1,-5.5,3.6,10.47,131.59
7,自选股,软件开发,920799,艾融软件,121.0,70.0,160.25,29.6,57.83,-0.2,-0.4,-1.7,-1.6,-0.8,-1.6,-3.73,12.47
8,自选股,互联网服务,300166,东方国信,119.0,95.0,-75.22,2.0,10.46,-0.4,-0.3,-7.8,-3.0,-7.4,3.2,7.28,11.28
9,自选股,互联网服务,300846,首都在线,105.0,82.0,-74.08,11.94,20.93,0.2,-1.3,-9.2,-2.4,-7.6,2.6,11.87,50.47
10,自选股,多元金融,603123,翠微股份,106.0,87.0,-26.15,5.47,13.27,0.1,-0.7,-2.0,-0.1,-4.0,2.9,10.58,64.84
11,自选股,软件开发,300380,安硕信息,68.0,62.0,285.77,17.61,49.06,-0.5,-1.5,-4.1,-3.7,-8.2,3.1,4.87,3.98
12,自选股,软件开发,300047,天源迪科,102.0,87.0,145.63,3.08,15.93,-0.8,-2.0,-17.8,-3.6,-7.0,-0.9,7.35,35.69
13,自选股,软件开发,688590,新致软件,56.0,56.0,92.67,3.94,21.4,-0.4,-0.2,-0.9,-4.4,-7.2,0.9,9.69,33.5
14,自选股,软件开发,300525,博思软件,107.0,88.0,-128.78,4.29,14.15,-0.3,-0.4,-0.6,-2.3,-3.1,-5.6,-5.16,-8.47
15,自选股,软件开发,839790,联迪信息,38.0,26.0,186.37,11.5,47.78,-0.1,-0.2,-0.1,-2.7,-2.4,-2.2,8.94,40.74
16,自选股,互联网服务,300250,初灵信息,36.0,26.0,516.4,6.81,16.63,-0.2,-0.4,-1.5,-3.6,-4.1,1.0,7.78,17.94
17,自选股,通信设备,301205,联特科技,118.0,62.0,169.71,7.71,91.05,-0.5,-2.9,-4.4,-3.5,-18.8,-4.9,18.05,20.61
18,自选股,光学光电子,003015,日久光电,50.0,44.0,54.51,4.77,17.69,-0.1,-0.6,-0.9,-3.5,-7.9,7.3,16.15,25.37
