代码,名称,除权除息日,送转股份-送转总比例,除权除息日股价,20250908股价,涨跌幅%
605009,豪悦护理,2025-06-12,4.0,50.75,34.84,-31.35
300963,中洲特材,2025-06-09,4.0,24.88,19.23,-22.71
688486,龙迅股份,2025-04-25,3.0,82.76,68.64,-17.06
837592,华信永道,2025-06-26,3.0,58.01,48.67,-16.1
300100,双林股份,2025-05-15,4.0,54.92,46.9,-14.6
688096,京源环保,2025-07-15,4.0,10.49,8.97,-14.49
300652,雷迪克,2025-06-05,3.0,66.98,57.32,-14.42
300986,志特新材,2025-05-23,4.0,14.0,12.36,-11.71
688522,纳睿雷达,2025-06-06,4.0,50.46,45.15,-10.52
301004,嘉益股份,2025-05-07,4.0,70.62,63.65,-9.87
832982,锦波生物,2025-06-18,3.0,328.65,297.89,-9.36
000999,华润三九,2025-06-06,3.0,32.69,29.68,-9.21
837023,芭薇股份,2025-05-28,3.0,22.32,20.51,-8.11
301023,江南奕帆,2025-05-23,4.0,47.29,43.49,-8.04
301479,弘景光电,2025-05-28,4.0,104.5,96.1,-8.04
871396,常辅股份,2025-06-11,2.0,38.81,35.71,-7.99
300856,科思股份,2025-06-04,4.0,15.63,14.43,-7.68
920106,林泰新材,2025-05-21,4.0,107.89,100.0,-7.31
603323,苏农银行,2025-06-12,1.0,5.61,5.23,-6.77
603195,公牛集团,2025-06-09,4.0,50.4,47.21,-6.33
603095,越剑智能,2025-06-06,4.0,15.78,14.83,-6.02
002982,湘佳股份,2025-05-30,4.0,16.38,15.5,-5.37
003001,中岩大地,2025-07-07,3.992772,27.22,25.86,-5.0
301220,亚香股份,2025-05-26,4.0,48.08,45.84,-4.66
002594,比亚迪,2025-07-29,20.0,111.42,106.25,-4.64
600694,大商股份,2025-06-10,1.0,19.99,19.17,-4.1
301099,雅创电子,2025-08-12,3.0,39.34,37.75,-4.04
834765,美之高,2025-06-09,3.0,18.81,18.08,-3.88
300932,三友联众,2025-06-04,4.0,12.26,11.8,-3.75
301501,恒鑫生活,2025-06-06,4.5,54.29,52.35,-3.57
301068,大地海洋,2025-05-28,3.0,28.91,27.91,-3.46
001323,慕思股份,2025-08-21,1.0,30.15,29.11,-3.45
300492,华图山鼎,2025-06-11,4.0,65.17,63.17,-3.07
873703,广厦环能,2025-06-06,4.0,17.7,17.21,-2.77
688615,合合信息,2025-05-26,4.0,161.07,156.69,-2.72
688244,永信至诚,2025-06-11,4.8,25.4,24.74,-2.6
605488,福莱新材,2025-05-30,4.0,32.17,31.58,-1.83
301618,长联科技,2025-05-30,4.0,62.2,61.37,-1.33
301459,丰茂股份,2025-05-29,3.0,45.55,44.98,-1.25
833230,欧康医药,2025-06-09,3.0,17.2,17.05,-0.87
830779,武汉蓝电,2025-04-23,4.0,49.0,48.91,-0.18
600668,尖峰集团,2025-07-15,2.0,11.81,11.87,0.51
301209,联合化学,2025-06-06,4.0,92.99,93.75,0.82
688625,呈和科技,2025-06-09,4.0,32.77,33.07,0.92
603730,岱美股份,2025-06-04,3.0,5.82,5.88,1.03
301339,通行宝,2025-05-27,4.0,16.04,16.21,1.06
301109,军信股份,2025-06-17,4.0,15.24,15.41,1.12
301210,金杨股份,2025-05-28,3.9,45.65,46.19,1.18
603205,健尔康,2025-07-09,3.0,29.68,30.12,1.48
688188,柏楚电子,2025-06-09,4.0,139.5,141.68,1.56
603329,上海雅仕,2025-06-06,3.0,11.41,11.59,1.58
300553,集智股份,2025-06-12,3.0,37.55,38.26,1.89
920002,万达轴承,2025-07-01,4.0,126.25,129.58,2.64
833533,骏创科技,2025-05-28,3.0,37.88,38.88,2.64
920108,宏海科技,2025-07-03,4.0,18.04,18.55,2.83
301500,飞南资源,2025-07-10,4.0,16.05,16.55,3.12
301395,仁信新材,2025-07-04,2.0,11.07,11.42,3.16
836395,朗鸿科技,2025-05-08,2.0,15.96,16.55,3.7
870656,海昇药业,2025-06-09,2.5,19.66,20.39,3.71
603888,新华网,2025-07-25,3.0,19.25,19.99,3.84
688076,ST诺泰,2025-06-12,4.0,40.42,42.03,3.98
688597,煜邦电力,2025-06-23,4.0,7.71,8.02,4.02
605016,百龙创园,2025-06-11,3.0,21.11,21.97,4.07
300661,圣邦股份,2025-06-20,3.0,68.6,71.39,4.07
300956,英力股份,2025-04-28,2.0,16.92,17.63,4.2
300921,南凌科技,2025-06-17,4.0,22.82,23.79,4.25
300795,米奥会展,2025-05-28,3.0,15.38,16.05,4.36
003028,振邦智能,2025-05-29,3.0,30.85,32.22,4.44
920116,星图测控,2025-04-18,4.0,72.92,76.16,4.44
920682,球冠电缆,2025-05-16,2.0,10.27,10.73,4.48
300836,佰奥智能,2025-05-28,4.5,39.35,41.13,4.52
002965,祥鑫科技,2025-05-29,3.0,41.82,43.75,4.62
301371,敷尔佳,2025-05-27,3.0,25.66,26.85,4.64
301585,蓝宇股份,2025-05-28,3.0,33.44,35.02,4.72
920066,科拜尔,2025-05-30,4.0,31.06,32.58,4.89
831856,浩淼科技,2025-06-13,1.0,22.18,23.27,4.91
