,行业,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,保险,18.9,-10.87,3.86,-0.82
1,汽车服务,-8.8,7.21,6.94,18.22
2,教育,-9.9,7.62,10.52,10.9
3,公用事业,-13.1,4.57,3.13,8.3
4,专业服务,-13.8,13.88,16.26,37.08
5,美容护理,-14.6,3.52,8.67,27.93
6,银行,-16.2,-2.14,9.14,17.4
7,煤炭行业,-16.4,7.61,10.56,4.5
8,航空机场,-17.4,1.99,3.46,-0.42
9,房地产服务,-18.6,4.06,6.74,10.4
10,燃气,-19.7,3.29,8.43,9.98
11,装修装饰,-20.8,5.93,8.61,24.86
12,铁路公路,-22.6,0.59,4.18,5.69
13,橡胶制品,-22.8,6.56,10.29,26.33
14,玻璃玻纤,-23.1,15.86,21.07,27.36
15,石油行业,-24.6,4.01,8.86,10.84
16,医药商业,-24.6,11.0,16.25,20.21
17,综合行业,-24.8,5.2,14.8,19.96
18,包装材料,-25.0,5.67,18.84,29.89
19,中药,-25.8,14.87,20.15,18.11
20,珠宝首饰,-29.0,3.59,19.24,31.54
21,化纤行业,-35.0,4.67,8.03,23.94
22,装修建材,-36.2,7.49,12.89,19.99
23,医疗器械,-38.8,16.99,21.5,33.59
24,家用轻工,-39.9,3.38,12.99,28.14
25,能源金属,-39.9,12.06,17.71,18.68
26,物流行业,-41.5,7.24,13.04,23.93
27,工程咨询服务,-41.7,12.02,18.42,27.68
28,采掘行业,-43.9,2.06,19.49,30.56
29,贵金属,-46.0,3.29,12.5,46.49
30,旅游酒店,-46.5,5.34,8.12,7.47
31,房地产开发,-53.7,5.32,8.59,5.01
32,仪器仪表,-54.3,10.33,12.13,44.49
33,生物制品,-54.4,20.0,37.33,51.94
34,造纸印刷,-55.4,5.95,12.52,14.94
35,航运港口,-55.6,3.03,13.3,12.56
36,化肥行业,-55.9,5.37,11.76,17.61
37,非金属材料,-55.9,11.02,19.66,32.28
38,贸易行业,-56.1,4.75,7.11,15.93
39,纺织服装,-58.1,7.58,11.75,22.96
40,风电设备,-58.4,6.57,10.53,29.07
41,钢铁行业,-58.9,16.75,17.09,24.32
42,电机,-59.9,6.03,3.03,32.26
43,农药兽药,-61.9,8.26,20.01,42.1
44,多元金融,-62.5,3.43,19.75,20.79
45,电子化学品,-64.1,6.17,9.6,22.03
46,食品饮料,-67.9,2.42,4.9,13.23
47,船舶制造,-68.1,9.06,15.2,40.41
48,交运设备,-73.6,6.41,9.17,25.37
49,家电行业,-78.4,5.58,6.25,23.23
50,医疗服务,-78.8,20.87,29.31,39.31
51,电源设备,-81.4,10.63,15.57,35.23
52,工程机械,-81.6,13.41,14.49,36.55
53,通信服务,-84.8,3.74,5.63,11.7
54,商业百货,-87.4,2.56,2.89,-3.38
55,酿酒行业,-89.8,2.03,1.52,-1.79
56,光伏设备,-91.9,9.78,11.27,5.84
57,证券,-99.6,4.43,12.36,9.98
58,农牧饲渔,-100.3,4.5,8.04,19.5
59,水泥建材,-105.6,14.62,18.03,25.05
60,游戏,-106.3,6.39,21.52,37.2
61,消费电子,-106.7,7.84,10.29,19.88
62,航天航空,-107.5,12.28,14.15,35.01
63,塑料制品,-118.1,14.77,20.25,51.44
64,环保行业,-122.1,8.01,13.97,28.17
65,文化传媒,-128.3,5.86,10.85,13.25
66,化学原料,-132.0,3.86,9.94,27.47
67,计算机设备,-132.5,2.23,13.18,28.79
68,汽车整车,-156.2,3.53,4.15,9.08
69,有色金属,-164.3,9.05,14.33,29.35
70,电力行业,-166.6,4.08,3.16,11.62
71,化学制药,-169.6,24.77,40.81,52.65
72,光学光电子,-172.7,5.85,12.19,20.32
73,工程建设,-173.9,8.11,11.51,19.33
74,电网设备,-199.8,8.37,12.12,24.83
75,电池,-231.0,1.64,16.81,31.58
76,小金属,-246.3,14.56,24.04,49.01
77,电子元件,-253.4,13.82,23.62,43.46
78,化学制品,-268.3,6.67,12.92,31.85
79,通用设备,-270.2,9.76,10.72,45.12
80,通信设备,-292.9,9.62,17.08,32.7
81,专用设备,-304.6,11.42,15.86,39.97
82,汽车零部件,-308.1,5.67,7.86,40.61
83,半导体,-330.5,6.88,8.96,21.26
84,互联网服务,-366.3,8.44,13.75,35.64
85,软件开发,-435.9,9.93,15.95,34.24
