,行业,1日主力净流入-总净额(亿),5日主力净流入-总净额(亿),29日主力净流入-总净额(亿),1日涨跌幅(%),5日涨跌幅(%),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,公用事业,-0.5,-2.3,-9.9,1.01,0.51,-0.17,-0.17,-0.17
1,汽车服务,-0.7,-1.8,-10.2,0.65,1.1,4.77,4.77,4.77
2,珠宝首饰,-1.5,-3.6,-17.4,0.44,2.3,4.48,4.48,4.48
3,玻璃玻纤,1.0,-14.3,-22.8,1.86,-0.72,13.39,13.39,13.39
4,保险,-2.1,-9.1,-23.8,-0.86,-3.84,0.67,0.67,0.67
5,燃气,-0.3,-3.7,-24.9,1.52,0.93,0.95,0.95,0.95
6,包装材料,-0.0,-5.3,-25.5,1.6,1.78,2.72,2.72,2.72
7,家用轻工,0.7,-1.6,-27.8,1.27,2.35,5.33,5.33,5.33
8,房地产服务,-0.0,-2.9,-30.4,0.94,-0.96,-0.45,-0.45,-0.45
9,装修装饰,-0.5,-3.7,-30.6,1.0,1.52,4.4,4.4,4.4
10,装修建材,-1.4,-8.4,-36.4,1.58,1.53,2.38,2.38,2.38
11,美容护理,-0.5,-7.8,-36.5,1.43,1.49,6.41,6.41,6.41
12,化纤行业,-0.1,-11.5,-39.3,2.29,0.52,6.78,6.78,6.78
13,航空机场,-1.5,-8.0,-39.4,2.03,1.06,3.01,3.01,3.01
14,铁路公路,-1.3,-6.1,-40.4,0.36,-0.68,-0.81,-0.81,-0.81
15,采掘行业,-0.9,-4.6,-41.0,1.09,-1.67,0.16,0.16,0.16
16,教育,-2.7,-7.9,-41.9,0.37,-0.69,1.13,1.13,1.13
17,医药商业,-0.9,-8.5,-42.7,1.6,0.19,-1.89,-1.89,-1.89
18,造纸印刷,-2.7,-13.8,-46.9,1.42,1.14,3.65,3.65,3.65
19,专业服务,-1.0,-8.8,-49.3,1.15,-1.22,-2.69,-2.69,-2.69
20,航运港口,8.1,3.0,-52.3,2.57,1.95,2.06,2.06,2.06
21,工程咨询服务,-1.9,-10.4,-52.6,1.13,-0.6,-3.54,-3.54,-3.54
22,化肥行业,1.4,-8.7,-53.1,2.88,0.86,4.38,4.38,4.38
23,橡胶制品,-1.5,-12.3,-54.0,1.0,-0.03,2.48,2.48,2.48
24,贵金属,-7.2,-30.4,-54.2,-0.26,3.52,18.24,18.24,18.24
25,综合行业,-0.4,-7.5,-54.5,1.39,-0.12,8.18,8.18,8.18
26,酿酒行业,12.2,-10.7,-55.1,1.19,-0.46,5.58,5.58,5.58
27,石油行业,-4.2,-1.6,-58.5,1.14,-0.31,0.9,0.9,0.9
28,农药兽药,1.1,-13.7,-64.4,2.26,-0.14,2.96,2.96,2.96
29,风电设备,-6.7,4.0,-65.8,0.01,2.98,6.11,6.11,6.11
30,贸易行业,-1.2,-14.4,-66.8,0.76,-1.26,3.82,3.82,3.82
31,银行,-28.5,11.9,-68.2,-0.23,-0.36,-3.91,-3.91,-3.91
32,能源金属,-4.5,19.4,-69.9,4.0,7.09,12.07,12.07,12.07
33,纺织服装,-3.1,-5.3,-72.3,0.99,2.11,1.0,1.0,1.0
34,仪器仪表,-1.4,-4.9,-72.8,1.33,0.59,1.84,1.84,1.84
35,物流行业,3.3,-9.5,-75.8,1.91,0.9,0.6,0.6,0.6
36,多元金融,-3.1,-32.9,-80.6,0.0,-4.89,0.68,0.68,0.68
37,商业百货,-8.1,-24.5,-85.9,-0.78,-0.09,5.25,5.25,5.25
38,旅游酒店,-8.8,-24.9,-92.8,-0.83,1.04,9.57,9.57,9.57
39,电子化学品,-1.6,-27.0,-93.5,0.99,-3.4,7.34,7.34,7.34
40,非金属材料,-16.4,-25.5,-93.9,-0.04,1.5,9.15,9.15,9.15
41,光伏设备,-30.0,58.0,-97.7,0.48,8.13,14.42,14.42,14.42
42,水泥建材,-3.0,-9.0,-99.4,0.86,-0.07,-3.07,-3.07,-3.07
43,通信服务,2.0,-23.8,-99.6,0.8,-5.23,-1.71,-1.71,-1.71
44,电机,4.9,2.6,-102.1,2.87,1.93,7.57,7.57,7.57
45,煤炭行业,-1.4,-8.6,-102.9,0.96,0.41,-1.79,-1.79,-1.79
46,游戏,1.7,-21.1,-113.6,2.66,1.4,9.4,9.4,9.4
47,船舶制造,-7.0,-9.5,-113.8,-0.42,-8.52,-7.05,-7.05,-7.05
48,环保行业,-5.3,-26.4,-116.7,1.67,0.54,2.14,2.14,2.14
49,农牧饲渔,-0.4,-25.7,-122.8,2.12,0.86,2.08,2.08,2.08
50,食品饮料,-3.2,-18.9,-124.1,1.08,0.5,4.26,4.26,4.26
51,化学原料,-1.9,-24.0,-124.2,2.27,1.02,3.59,3.59,3.59
52,中药,-0.0,-22.4,-125.6,1.29,-0.46,-1.31,-1.31,-1.31
53,电源设备,-2.6,-52.3,-127.4,0.99,-0.86,10.85,10.85,10.85
54,交运设备,-1.0,-15.5,-129.0,1.05,0.34,0.34,0.34,0.34
55,电池,-49.6,20.4,-135.6,1.06,11.65,22.52,22.52,22.52
56,钢铁行业,-3.6,-31.8,-147.5,1.67,-0.04,-1.84,-1.84,-1.84
57,房地产开发,-0.1,-34.1,-164.2,1.32,0.54,3.28,3.28,3.28
58,家电行业,5.8,-29.6,-166.2,1.42,0.67,4.62,4.62,4.62
59,塑料制品,1.2,-4.8,-172.7,1.94,3.62,5.83,5.83,5.83
60,医疗器械,7.3,-11.4,-173.9,3.16,0.98,0.94,0.94,0.94
61,工程建设,-1.0,-19.2,-180.2,0.61,-0.27,1.43,1.43,1.43
62,工程机械,-3.9,-17.8,-180.4,1.01,-0.44,2.66,2.66,2.66
63,生物制品,-4.2,-38.3,-200.4,0.37,-1.56,2.99,2.99,2.99
64,电力行业,-8.8,-26.6,-202.5,1.33,1.49,2.23,2.23,2.23
65,医疗服务,1.4,-28.9,-203.2,1.94,0.3,4.69,4.69,4.69
66,电网设备,1.0,-27.0,-227.4,1.24,0.8,3.17,3.17,3.17
67,汽车整车,-15.6,-61.3,-229.5,0.67,-0.42,3.84,3.84,3.84
68,文化传媒,-3.8,-46.5,-237.8,1.62,-0.69,2.01,2.01,2.01
69,化学制品,12.2,-11.5,-246.0,2.08,1.49,4.28,4.28,4.28
70,光学光电子,-6.7,-75.4,-250.0,0.37,-3.81,5.25,5.25,5.25
