,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,银行,002958,青农商行,187.0,166.0,4.37,0.52,3.36,1.2,-7.2,-1.75,15.07
1,医疗器械,300298,三诺生物,117.0,95.0,32.5,3.65,20.96,1.7,-6.1,-2.69,-18.09
2,银行,601860,紫金银行,108.0,104.0,5.9,0.54,2.94,1.1,-5.2,1.03,6.91
3,银行,601528,瑞丰银行,110.0,97.0,6.16,0.57,5.59,1.7,-3.5,-3.95,2.95
4,银行,600908,无锡银行,132.0,120.0,4.77,0.59,6.0,2.1,-3.4,0.67,5.45
5,银行,002839,张家港行,110.0,110.0,5.52,0.61,4.49,1.1,-2.2,-0.66,7.67
6,中药,600285,羚锐制药,132.0,132.0,13.93,4.31,23.31,1.5,-0.3,0.17,9.64
7,房地产开发,600533,栖霞建设,29.0,29.0,21.73,0.86,2.74,1.2,0.4,9.16,17.09
8,航空机场,000089,深圳机场,148.0,148.0,23.71,1.3,7.22,1.8,1.3,3.88,6.65
9,造纸印刷,605377,华旺科技,53.0,53.0,16.89,1.34,9.45,1.1,2.9,6.42,-12.09
10,燃气,002267,陕天然气,93.0,93.0,9.11,1.41,8.34,1.1,4.1,9.88,2.96
11,化学制品,002637,赞宇科技,57.0,53.0,29.09,1.49,12.02,1.3,9.4,23.41,23.54
12,中药,600557,康缘药业,98.0,98.0,34.54,2.11,17.37,1.9,9.7,19.22,27.53
