,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,1日主力净流入-总净额(亿),5日主力净流入-总净额(亿),29日主力净流入-总净额(亿),1日涨跌幅(%),5日涨跌幅(%),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,医疗器械,603301,振德医疗,72.0,72.0,28.16,1.28,27.01,-0.1,-0.2,-0.1,7.1,11.2,22.8,36.0,26.57
1,医疗器械,688581,安杰思,63.0,32.0,25.01,2.6,77.85,0.1,0.2,-1.0,6.5,3.4,-3.5,24.76,33.49
2,医疗器械,688236,春立医疗,96.0,72.0,41.85,3.3,24.98,0.1,-0.1,-0.3,6.5,8.1,10.3,47.37,95.92
3,医疗器械,688029,南微医学,181.0,181.0,24.88,4.49,96.25,-0.1,-0.9,-3.3,6.1,2.9,14.5,48.72,44.54
4,医疗器械,688677,海泰新光,55.0,55.0,37.12,4.39,46.11,0.2,0.2,-0.7,6.0,4.6,9.5,16.97,24.39
5,医疗器械,688016,心脉医疗,139.0,139.0,22.16,3.46,113.13,0.3,0.0,-3.2,5.9,2.9,-0.8,27.17,3.31
6,医疗器械,688410,山外山,53.0,39.0,48.34,3.1,16.56,0.1,-0.2,-2.0,5.7,1.4,1.7,16.13,49.73
7,医疗器械,300298,三诺生物,120.0,97.0,33.26,3.73,21.45,-0.2,-0.3,0.8,4.5,2.3,0.0,-5.42,-16.18
8,医疗器械,688580,伟思医疗,52.0,52.0,37.25,3.18,53.92,0.2,-0.1,-1.1,4.5,0.6,17.8,18.77,98.89
9,医疗器械,688050,爱博医疗,159.0,156.0,37.36,5.71,82.4,0.0,0.2,-2.5,4.3,1.6,8.0,15.26,-9.13
10,医疗器械,301367,瑞迈特,83.0,53.0,31.77,2.85,93.14,-0.0,-0.3,-1.1,4.2,1.7,6.8,17.16,48.79
11,医疗器械,688358,祥生医疗,35.0,35.0,24.94,2.52,31.0,0.0,-0.1,-0.7,4.2,-1.0,-4.6,12.16,32.37
12,医疗器械,300326,ST凯利,42.0,41.0,47.63,1.51,5.82,0.2,-0.2,-2.3,4.1,1.4,-4.7,24.89,-10.46
13,医疗器械,300653,正海生物,38.0,38.0,40.83,4.45,21.09,-0.0,-0.2,-1.3,3.5,-0.0,-6.1,5.19,1.15
14,医疗器械,688314,康拓医疗,32.0,32.0,28.73,4.64,38.9,0.0,-0.2,-0.7,3.5,3.6,7.5,31.69,35.92
15,医疗器械,605369,拱东医疗,44.0,44.0,44.01,2.61,20.1,-0.0,-0.1,-0.5,3.5,1.1,-0.6,7.49,1.62
16,医疗器械,300314,戴维医疗,44.0,22.0,42.71,3.64,15.12,0.0,-0.2,-1.1,3.4,-0.7,5.4,22.33,35.36
17,医疗器械,688389,普门科技,63.0,63.0,25.78,3.05,14.63,0.1,-0.1,-1.0,3.4,3.5,5.6,14.93,0.14
18,医疗器械,300529,健帆生物,196.0,126.0,25.14,6.52,24.54,0.4,0.9,-2.5,3.4,6.0,1.6,17.14,-14.08
19,医疗器械,300206,理邦仪器,75.0,44.0,24.23,3.66,12.91,-0.0,-0.2,-1.7,3.3,-1.8,-0.6,11.2,17.68
20,医疗器械,300453,三鑫医疗,53.0,37.0,23.12,4.11,10.19,0.3,0.3,-1.8,3.2,4.3,16.9,26.74,40.36
21,医疗器械,301580,爱迪特,50.0,34.0,27.14,2.46,46.89,0.0,-0.2,-2.5,3.1,-1.2,-12.2,18.62,14.25
22,医疗器械,688338,赛科希德,29.0,29.0,30.16,1.76,27.28,0.0,-0.1,-0.1,3.0,0.9,-0.1,10.09,14.29
23,医疗器械,688139,海尔生物,107.0,107.0,37.31,2.47,33.5,0.1,0.0,-0.8,3.0,1.6,0.6,9.05,-3.57
24,医疗器械,688366,昊海生科,131.0,109.0,30.93,2.33,56.14,-0.1,-0.2,-0.5,2.7,1.6,2.1,10.16,-6.42
25,医疗器械,603987,康德莱,42.0,42.0,16.93,1.63,9.69,0.2,0.0,-0.6,2.6,0.9,15.2,30.59,37.84
26,医疗器械,600587,新华医疗,102.0,102.0,13.22,1.29,16.81,0.0,0.2,-1.9,2.6,2.9,3.4,12.44,2.5
27,医疗器械,300406,九强生物,84.0,61.0,23.92,2.15,14.3,-0.0,-0.2,-1.5,2.3,0.6,-1.9,8.75,12.95
28,医疗器械,300562,乐心医疗,34.0,25.0,39.73,3.33,15.4,0.0,0.0,-2.5,2.3,-0.2,-5.2,8.76,5.48
29,医疗器械,002432,九安医疗,187.0,170.0,10.18,0.86,39.46,-0.1,-0.9,-3.3,2.1,-0.5,1.3,9.43,-2.81
30,医疗器械,300685,艾德生物,99.0,99.0,26.2,5.25,25.3,0.1,-0.1,-1.8,2.1,6.4,6.0,17.78,12.44
31,医疗器械,301290,东星医疗,28.0,19.0,46.78,1.28,28.29,-0.1,0.1,-0.5,2.0,1.8,3.5,10.64,24.9
32,医疗器械,300439,美康生物,42.0,32.0,36.89,1.42,10.91,-0.0,-0.1,-1.3,2.0,-0.8,-5.5,6.86,5.72
33,医疗器械,688289,圣湘生物,121.0,121.0,37.07,1.66,20.82,0.1,-0.5,-3.2,2.0,-2.5,-8.2,2.66,-7.18
34,医疗器械,603309,维力医疗,43.0,43.0,17.67,2.3,14.61,0.0,-0.2,-1.0,2.0,2.5,0.9,17.54,27.26
35,医疗器械,002950,奥美医疗,65.0,46.0,16.21,1.81,10.23,-0.0,-0.2,0.7,1.9,-2.3,10.0,19.65,17.99
36,医疗器械,002817,黄山胶囊,23.0,22.0,32.39,2.45,7.7,-0.0,-0.0,-0.5,1.9,1.9,-3.9,6.06,24.19
37,医疗器械,688576,西山科技,31.0,15.0,45.35,1.83,68.53,-0.0,-0.2,-0.8,1.8,-0.5,-1.7,10.64,12.36
38,医疗器械,300595,欧普康视,164.0,122.0,32.76,3.45,18.28,-0.4,-0.9,-3.6,1.8,-1.4,0.4,22.27,-2.4
39,医疗器械,688606,奥泰生物,55.0,55.0,20.91,1.41,69.64,0.0,-0.0,-0.2,1.8,-2.9,-4.2,5.55,12.63
40,医疗器械,300482,万孚生物,107.0,96.0,28.27,1.96,22.22,0.0,-0.3,-4.1,1.8,-0.5,-7.9,4.96,0.95
41,医疗器械,688273,麦澜德,40.0,15.0,31.6,3.02,40.4,-0.0,-0.3,-0.8,1.7,-3.8,19.1,44.75,75.81
42,医疗器械,688075,安旭生物,51.0,51.0,43.09,0.99,40.22,-0.0,-0.1,-0.3,1.7,-0.6,-4.8,8.41,11.47
43,医疗器械,603014,威高血净,170.0,16.0,38.68,2.51,41.41,-0.0,1.5,0.4,1.5,1.0,3.4,13.3,56.26
44,医疗器械,603387,基蛋生物,43.0,43.0,19.9,1.61,8.54,-0.0,-0.2,-0.8,1.4,0.2,-2.2,7.02,4.66
45,医疗器械,600529,山东药玻,149.0,149.0,20.06,1.82,22.44,-0.1,-0.4,-3.8,1.2,1.0,-3.3,5.75,-11.83
46,医疗器械,603205,健尔康,47.0,12.0,48.8,3.29,30.12,-0.0,-0.4,-1.3,0.7,-2.8,-0.1,2.0,3.22
47,医疗器械,301087,可孚医疗,86.0,80.0,25.58,1.81,41.0,-0.0,0.1,0.9,0.0,-1.1,10.8,24.02,19.92
48,医疗器械,688013,天臣医疗,46.0,46.0,47.96,8.05,56.98,-0.0,-0.4,-0.3,-0.2,-1.5,50.0,108.95,242.63
49,化肥行业,002170,芭田股份,107.0,87.0,11.75,2.89,11.08,-0.6,-1.3,-4.1,6.3,-2.2,7.3,8.2,31.12
50,化肥行业,002545,东方铁塔,139.0,126.0,14.1,1.52,11.18,0.1,0.1,-2.1,5.8,6.3,13.8,33.1,66.12
51,化肥行业,002539,云图控股,140.0,102.0,13.75,1.54,11.63,0.3,0.1,-1.4,5.2,2.0,8.5,32.01,52.62
52,化肥行业,002588,史丹利,119.0,89.0,9.8,1.66,10.32,0.2,-0.3,-0.2,4.2,4.5,12.2,9.79,44.94
53,化肥行业,000422,湖北宜化,158.0,154.0,19.85,2.89,14.55,0.2,-0.8,-4.0,3.7,1.9,1.7,21.86,17.15
54,化肥行业,300505,川金诺,57.0,45.0,15.97,2.15,20.63,0.1,-0.4,-4.8,3.0,-1.5,-0.4,16.82,46.31
55,化肥行业,002556,辉隆股份,53.0,53.0,24.11,1.5,5.65,-0.0,-0.3,-1.3,1.3,-0.5,-4.9,-13.48,5.02
56,化肥行业,002538,司尔特,44.0,44.0,23.05,0.83,5.14,-0.0,-0.1,-0.8,1.2,-5.7,-8.1,0.78,-6.55
57,化肥行业,300387,富邦科技,27.0,27.0,22.1,1.84,9.36,-0.0,-0.2,-1.2,1.0,-3.7,-1.8,4.58,18.03
58,化肥行业,000902,新洋丰,184.0,168.0,9.69,1.66,14.69,0.1,0.1,-0.0,0.8,-0.7,2.2,7.38,15.31
59,电机,301023,江南奕帆,34.0,18.0,45.37,4.11,43.49,0.0,-0.2,-1.7,2.4,-0.3,0.0,6.2,30.37
60,电机,002801,微光股份,83.0,42.0,24.09,4.74,36.17,0.1,-0.2,-0.7,2.3,-0.6,7.6,22.69,50.02
61,电机,300907,康平科技,34.0,34.0,38.53,4.29,35.57,-0.1,-0.5,-0.1,1.8,-4.7,11.4,26.58,69.06
62,电机,002823,凯中精密,56.0,38.0,24.93,2.8,17.18,0.2,-0.3,-0.0,1.8,0.8,15.1,30.25,22.54
63,电机,000922,佳电股份,83.0,70.0,31.28,1.83,11.88,0.1,-0.2,-1.8,1.4,-0.8,-0.1,10.31,6.26
64,电机,002576,通达动力,31.0,31.0,36.49,2.42,18.85,0.0,-0.5,-1.1,1.2,-0.1,10.9,17.08,10.49
65,电机,603344,星德胜,55.0,15.0,30.51,2.68,28.38,-0.0,0.1,-1.0,1.1,5.1,10.6,17.18,17.66
66,电机,603320,迪贝电气,29.0,29.0,34.38,2.56,19.58,-0.0,-0.1,0.3,0.7,-0.1,2.0,15.52,40.06
67,电机,603350,安乃达,51.0,19.0,33.59,3.81,43.49,-0.1,-0.1,-0.3,-0.5,2.1,14.5,23.38,22.33
68,游戏,300533,冰川网络,96.0,67.0,14.23,5.95,40.75,0.3,-1.3,-7.2,5.3,-2.5,8.7,38.37,106.22
69,游戏,002605,姚记科技,126.0,102.0,24.69,3.57,30.25,0.1,1.1,-1.9,3.7,6.3,13.0,2.4,15.63
70,游戏,300043,星辉娱乐,68.0,68.0,21.87,4.08,5.45,0.3,-0.5,-2.3,2.8,0.7,15.5,5.21,50.14
71,游戏,300031,宝通科技,107.0,90.0,38.36,2.68,25.6,-0.1,-0.9,-9.2,1.1,-1.2,1.3,4.58,40.5
72,游戏,600633,浙数文化,183.0,183.0,24.21,1.8,14.41,-0.1,-2.9,-5.1,-0.2,-5.2,2.3,4.42,39.9
73,航运港口,601975,招商南油,161.0,161.0,14.15,1.42,3.36,3.2,3.9,3.6,10.2,13.5,17.1,20.86,7.35
