,行业,代码,名称,总市值(亿),流通市值(亿),市盈率-动态,市净率,收盘价,29日主力净流入-总净额(亿),29日涨跌幅(%),60日涨跌幅(%),年初至今涨跌幅(%)
0,珠宝首饰,605599,菜百股份,114.0,114.0,12.42,2.9,14.65,-0.4,-3.6,-14.83,37.82
1,珠宝首饰,603900,莱绅通灵,43.0,42.0,35.12,2.16,12.41,1.3,27.7,-3.57,124.41
2,珠宝首饰,600916,中国黄金,141.0,141.0,22.05,1.96,8.37,-2.0,1.9,-0.12,1.21
3,珠宝首饰,300945,曼卡龙,62.0,57.0,40.66,3.77,23.8,-1.4,24.0,-7.5,109.69
4,珠宝首饰,002867,周大生,151.0,150.0,12.72,2.42,13.92,-0.9,6.2,1.75,0.22
5,珠宝首饰,002731,萃华珠宝,36.0,32.0,16.03,1.94,13.86,-1.3,7.6,-19.37,49.03
6,珠宝首饰,002345,潮宏基,139.0,136.0,21.02,3.82,15.67,-0.7,11.2,3.23,181.83
7,珠宝首饰,000026,飞亚达,68.0,61.0,41.12,2.03,16.71,-5.6,-6.5,40.54,67.6
8,珠宝首饰,000025,特  力Ａ,79.0,72.0,47.2,4.49,18.4,-1.6,7.0,0.66,12.06
9,汽车零部件,920106,林泰新材,54.0,28.0,36.14,10.69,97.3,-2.7,-1.7,7.68,129.32
10,汽车零部件,873690,捷众科技,22.0,14.0,36.12,3.94,33.38,0.7,30.1,35.8,90.53
11,汽车零部件,838837,华原股份,28.0,25.0,37.5,5.27,18.54,0.3,9.8,10.42,94.34
12,汽车零部件,838171,邦德股份,25.0,11.0,26.19,4.24,18.86,-0.0,6.1,4.84,48.15
13,汽车零部件,837663,明阳科技,31.0,15.0,49.25,8.38,23.46,-1.1,-7.3,11.55,117.42
14,汽车零部件,836221,易实精密,28.0,15.0,42.16,7.06,23.94,0.2,14.1,18.4,99.83
15,汽车零部件,832978,开特股份,58.0,32.0,33.8,8.16,32.15,0.1,35.4,37.69,144.12
16,汽车零部件,832000,安徽凤凰,21.0,11.0,32.08,3.31,22.88,-0.0,10.3,3.95,28.11
17,汽车零部件,831906,舜宇精工,20.0,10.0,32.21,3.53,31.34,1.6,26.6,23.82,85.66
18,汽车零部件,831195,三祥科技,20.0,15.0,25.99,2.69,20.84,-0.5,12.0,18.88,93.32
19,汽车零部件,688667,菱电电控,35.0,35.0,40.14,2.05,66.14,-0.5,13.9,23.1,64.98
20,汽车零部件,688612,威迈斯,173.0,104.0,31.76,5.16,41.07,-1.5,27.2,57.6,77.18
