序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300195,长荣股份,9.05,20.03,1.51,900417.0,793731226.2,17.9,9.05,7.7,7.71,7.54,4.25,28.68,209.1,1.44,3834555192.0,2840907953.0,0.0,0.0,56.85,60.75
2,688585,上纬新材,16.14,20.0,2.69,13511.0,21806851.0,0.0,16.14,16.14,16.14,13.45,0.76,0.33,72.17,5.12,6510258290.0,6510258290.0,0.0,0.0,124.79,143.44
3,688317,之江生物,23.22,20.0,3.87,194513.0,427406754.0,19.64,23.22,19.42,19.42,19.35,3.69,10.12,-69.64,1.26,4461908737.0,4461908737.0,0.0,0.0,40.73,42.89
4,301388,欣灵电气,42.13,19.99,7.02,193787.0,759531061.95,23.7,42.13,33.81,34.05,35.11,1.1,70.84,289.59,4.49,4316117388.0,1152533052.0,0.0,0.0,96.69,84.05
5,300950,德固特,26.72,19.98,4.45,86877.0,231325748.04,5.25,26.72,25.55,26.72,22.27,0.78,9.61,43.03,5.43,4074265600.0,2414813988.0,0.0,0.0,72.16,67.52
6,300006,莱美药业,4.81,19.95,0.8,1357634.0,628080539.99,17.71,4.81,4.1,4.12,4.01,5.89,12.86,-92.17,2.73,5078932896.0,5078498519.0,0.0,0.0,41.47,31.42
7,831039,国义招标,21.3,18.33,3.3,285066.0,580020573.7,26.89,23.0,18.16,18.49,18.0,1.83,18.53,72.55,6.36,3276366000.0,3276363870.0,0.28,1.14,120.73,187.84
8,688189,南新制药,9.5,18.16,1.46,343893.0,303050196.0,18.91,9.5,7.98,8.0,8.04,4.68,12.53,-81.18,2.81,2606800000.0,2606800000.0,0.21,0.85,52.98,45.26
9,688176,亚虹医药-U,11.65,17.32,1.72,628018.0,717480318.0,19.44,11.92,9.99,9.99,9.93,5.19,14.45,-19.87,3.51,6640500000.0,5062105144.0,-1.52,0.26,43.3,71.58
10,300066,三川智慧,6.34,15.27,0.84,3269585.0,2020917663.64,14.36,6.59,5.8,5.91,5.5,5.04,32.5,101.07,2.65,6593810881.0,6377471606.0,0.63,1.12,68.17,62.15
11,300469,信息发展,43.4,15.18,5.72,329327.0,1390475741.98,18.07,45.0,38.19,38.19,37.68,2.21,13.27,-135.76,24.5,10773564962.0,10773292844.0,0.02,-0.05,35.96,84.68
12,301261,恒工精密,93.85,14.76,12.07,144574.0,1296147431.42,18.27,98.14,83.2,84.15,81.78,2.1,38.57,103.36,5.46,8248494895.0,3517809676.0,0.05,0.02,9.95,128.18
13,838810,春光智能,16.99,12.67,1.91,112722.0,183456716.54,13.59,17.15,15.1,15.2,15.08,4.95,18.06,136.72,7.06,1629341000.0,1060304190.0,0.0,0.12,41.47,175.36
14,301076,新瀚新材,30.88,12.66,3.47,270019.0,818873388.1,16.02,31.95,27.56,28.18,27.41,3.33,24.59,83.4,4.69,5400331456.0,3390980726.0,0.13,-0.06,69.48,30.24
15,688480,赛恩斯,38.2,12.35,4.2,22428.0,82251073.0,12.68,38.32,34.01,34.15,34.0,2.51,3.51,51.36,3.52,3641460038.0,2438924038.0,0.74,-0.05,22.16,44.1
16,300942,易瑞生物,10.8,12.15,1.17,544794.0,597599950.98,20.04,11.56,9.63,9.63,9.63,9.58,13.58,-323.84,5.48,4334230782.0,4334230782.0,0.09,0.28,25.73,26.32
17,300211,*ST亿通,7.66,11.82,0.81,323644.0,241037682.0,16.5,8.15,7.02,7.06,6.85,3.49,10.84,-43.63,4.96,2328101678.0,2286370772.0,0.0,-0.91,-18.16,-13.93
18,301529,福赛科技,40.2,11.54,4.16,87659.0,337592709.08,13.07,40.48,35.77,35.8,36.04,1.99,19.38,30.49,2.76,3410455842.0,1818588102.0,0.0,0.07,54.32,41.2
19,688160,步科股份,93.51,11.52,9.66,39798.0,357405044.0,12.77,94.48,83.77,85.74,83.85,2.79,4.74,176.55,10.3,7854840000.0,7854840000.0,0.01,0.04,-10.59,63.88
20,300984,金沃股份,59.1,11.34,6.02,78245.0,448135284.38,14.83,60.8,52.93,53.2,53.08,4.08,9.76,147.94,7.26,7285174378.0,4739793760.0,0.17,0.39,37.19,106.14
21,300718,长盛轴承,75.56,11.13,7.57,334407.0,2465465541.04,14.0,78.87,69.35,69.49,67.99,3.77,17.25,106.42,14.2,22575743507.0,14646704013.0,0.01,0.31,-2.21,148.06
22,600462,退市九有,0.21,10.53,0.02,765675.0,15596399.0,10.53,0.21,0.19,0.2,0.19,1.5,12.75,-5.72,3.49,129586800.0,126097650.0,0.0,0.0,-84.78,-86.09
23,600606,绿地控股,2.29,10.1,0.21,7461694.0,1703792884.0,3.37,2.29,2.22,2.29,2.08,5.16,5.31,-32.55,0.51,32184159939.0,32184159939.0,0.0,0.0,28.65,9.05
24,301230,泓博医药,39.44,10.08,3.61,172137.0,655165782.24,10.8,39.7,35.83,35.83,35.83,2.14,22.4,114.94,5.5,5505295701.0,3031370429.0,0.03,0.13,45.59,56.57
25,002511,中顺洁柔,7.77,10.06,0.71,573876.0,437895807.15,6.23,7.77,7.33,7.33,7.06,5.21,4.54,37.61,1.83,10043160221.0,9831699003.0,0.0,0.0,17.91,14.1
26,600173,卧龙新能,7.55,10.06,0.69,925832.0,697900646.0,3.5,7.55,7.31,7.55,6.86,6.88,13.22,36.64,1.4,5288822142.0,5288142642.0,0.0,0.0,14.57,90.66
27,600268,国电南自,8.86,10.06,0.81,219832.0,194225209.0,2.24,8.86,8.68,8.68,8.05,1.8,2.17,75.52,2.79,9002588959.0,8955181164.0,0.0,0.0,30.49,34.65
28,600735,新华锦,8.32,10.05,0.76,142582.0,117206514.0,8.33,8.32,7.69,7.69,7.56,0.62,3.35,141.57,2.94,3567434782.0,3539759201.0,0.0,0.0,39.83,82.46
29,002645,华宏科技,11.5,10.05,1.05,753341.0,859896893.36,4.69,11.5,11.01,11.18,10.45,2.68,14.69,53.7,2.06,6687651799.0,5897914495.0,0.0,0.0,44.65,68.62
30,002153,石基信息,10.41,10.04,0.95,941205.0,938104040.97,10.68,10.41,9.4,9.6,9.46,1.34,5.88,336.43,4.03,28410907885.0,16653541200.0,0.0,0.0,43.98,46.0
31,600604,市北高新,6.25,10.04,0.57,189606.0,118503956.0,0.0,6.25,6.25,6.25,5.68,0.76,1.35,-74.51,1.84,11708155025.0,8796592525.0,0.0,0.0,35.57,31.58
32,002527,新时达,15.79,10.03,1.44,592151.0,900073530.26,8.5,15.79,14.57,14.57,14.35,4.38,11.19,-321.88,8.45,10469737785.0,8354060017.0,0.0,0.0,25.02,79.84
33,002107,沃华医药,7.46,10.03,0.68,554418.0,393302464.33,13.42,7.46,6.55,6.58,6.78,1.75,9.73,47.09,5.98,4305983616.0,4249340209.0,0.0,0.0,67.26,56.07
34,002121,科陆电子,6.58,10.03,0.6,2762761.0,1776358908.17,11.37,6.58,5.9,5.92,5.98,2.72,19.74,40.5,19.15,10928173807.0,9211489418.0,0.0,0.0,46.88,51.26
35,601208,东材科技,12.61,10.03,1.15,1117382.0,1393784020.0,8.2,12.61,11.67,11.67,11.46,1.04,12.46,30.77,2.62,11308454096.0,11308454096.0,0.0,0.0,48.0,69.49
36,002552,宝鼎科技,17.01,10.03,1.55,288370.0,476083205.09,10.03,17.01,15.46,15.55,15.46,1.24,9.0,91.84,3.8,6599630480.0,5447176870.0,0.0,0.0,28.09,29.65
37,002562,兄弟科技,6.26,10.02,0.57,1530025.0,933999989.28,9.67,6.26,5.71,5.71,5.69,0.61,21.81,79.62,2.13,6658765387.0,4391570182.0,0.0,0.0,46.26,47.29
38,603380,易德龙,28.99,10.02,2.64,39477.0,111461893.0,10.02,28.99,26.35,26.4,26.35,1.84,2.46,27.84,3.36,4651190388.0,4651190388.0,0.0,0.0,45.97,20.84
39,603013,亚普股份,21.08,10.02,1.92,110494.0,223955609.0,10.07,21.08,19.15,19.3,19.16,1.33,2.16,20.92,2.56,10805592485.0,10805592485.0,0.0,0.0,44.19,44.09
40,603778,国晟科技,5.49,10.02,0.5,1868665.0,957571458.0,17.23,5.49,4.63,4.9,4.99,2.08,29.07,-21.49,4.36,3604965239.0,3529285710.0,0.0,0.0,84.23,81.19
41,002908,德生科技,12.96,10.02,1.18,889630.0,1092340600.74,11.29,12.96,11.63,11.9,11.78,0.99,24.72,214.68,5.06,5591359860.0,4663767871.0,0.0,0.0,56.9,48.79
42,000777,中核科技,22.07,10.02,2.01,226735.0,500403205.53,0.1,22.07,22.05,22.07,20.06,0.92,5.91,1171.09,3.92,8462026278.0,8461876952.0,0.0,0.0,35.57,23.3
43,603176,汇通集团,6.15,10.02,0.56,50344.0,30961560.0,0.0,6.15,6.15,6.15,5.59,0.46,1.09,-17.3,2.75,2917075423.0,2839985173.0,0.0,0.0,36.67,38.83
44,600826,兰生股份,9.89,10.01,0.9,80704.0,79816731.0,0.0,9.89,9.89,9.89,8.99,0.77,1.1,-73.96,1.84,7274426800.0,7274426800.0,0.0,0.0,28.61,18.02
45,600513,联环药业,16.48,10.01,1.5,369857.0,591298946.0,9.48,16.48,15.06,15.06,14.98,0.78,12.96,51.0,3.38,4704319330.0,4704319330.0,0.0,0.0,74.58,67.82
46,002852,道道全,11.54,10.01,1.05,306532.0,343350955.54,7.91,11.54,10.71,11.31,10.49,3.77,10.72,9.66,1.82,3969394240.0,3298348329.0,0.0,0.0,19.96,41.94
47,603350,安乃达,39.67,10.01,3.61,70193.0,270435502.0,10.37,39.67,35.93,36.0,36.06,2.08,15.95,36.67,3.6,4618183050.0,1745480000.0,0.0,0.0,23.81,11.59
48,002192,融捷股份,34.63,10.01,3.15,151459.0,516397760.9,7.08,34.63,32.4,32.5,31.48,2.35,5.85,112.21,2.7,8991859680.0,8973333496.0,0.0,0.0,26.34,9.14
49,600822,上海物贸,12.09,10.01,1.1,330250.0,399152764.0,1.55,12.09,11.92,12.09,10.99,2.09,8.34,222.35,4.95,5996312530.0,4789428208.0,0.0,0.0,25.81,18.3
50,002915,中欣氟材,18.79,10.01,1.71,325395.0,601832654.6,9.37,18.79,17.19,17.19,17.08,2.64,11.29,490.74,4.7,6115550766.0,5417276786.0,0.0,0.0,56.19,47.03
51,002401,中远海科,19.67,10.01,1.79,65714.0,129259516.68,0.0,19.67,19.67,19.67,17.88,0.38,1.77,405.81,4.37,7310718215.0,7304728700.0,0.0,0.0,34.45,23.87
52,605336,帅丰电器,22.19,10.01,2.02,95894.0,204075464.0,11.01,22.19,19.97,20.17,20.17,3.07,5.23,-789.76,2.18,4069922266.0,4069922266.0,0.0,0.0,22.94,77.24
53,605259,绿田机械,24.06,10.01,2.19,146722.0,336493223.0,9.28,24.06,22.03,22.03,21.87,3.75,8.51,18.07,2.51,4149868800.0,4149868800.0,0.0,0.0,68.25,65.36
54,000880,潍柴重机,37.84,10.0,3.44,227450.0,844141261.04,7.12,37.84,35.39,35.39,34.4,1.86,14.03,98.55,5.99,12537171504.0,6136210080.0,0.0,0.0,-1.2,119.11
55,003040,楚天龙,27.17,10.0,2.47,1274200.0,3144184030.63,17.69,27.17,22.8,24.7,24.7,1.22,27.89,170.51,8.56,12529064359.0,12412621510.0,0.0,0.0,121.8,108.36
56,603590,康辰药业,48.3,10.0,4.39,47024.0,223440751.0,7.52,48.3,45.0,45.0,43.91,0.66,2.99,43.24,2.52,7696917839.0,7594570139.0,0.0,0.0,63.29,110.73
57,603486,科沃斯,64.03,10.0,5.82,96681.0,607628572.0,5.55,64.03,60.8,61.0,58.21,1.54,1.7,19.38,4.98,36804845148.0,36446001819.0,0.0,0.0,34.38,37.55
58,000678,襄阳轴承,16.72,10.0,1.52,1271554.0,2075732976.66,10.46,16.72,15.13,15.2,15.2,3.57,27.67,-140.97,9.83,7684709246.0,7684709246.0,0.0,0.0,40.5,156.84
59,605500,森林包装,13.2,10.0,1.2,658556.0,802112639.0,17.5,13.2,11.1,11.5,12.0,1.5,15.89,40.36,2.14,5470080000.0,5470080000.0,0.0,0.0,103.08,93.83
60,002028,思源电气,76.99,10.0,7.0,256938.0,1965344160.82,3.56,76.99,74.5,75.08,69.99,4.35,4.23,23.18,4.48,59929422661.0,46716566622.0,0.0,0.0,7.36,6.63
